window_start_phi_deg,window_stop_phi_deg,sample_count,gain_total_min_dbi,gain_total_min_theta_deg,gain_total_min_phi_deg,gain_total_max_dbi,gain_total_max_theta_deg,gain_total_max_phi_deg,candidate,candidate_index
60.0,330.0,70,-2.93493163772527,90.0,90.0,5.30601118438233,45.0,60.0,h5p0_l8p8_w8p0_feed3p80,9
65.0,335.0,60,-2.93493163772527,90.0,90.0,5.03425454593227,45.0,65.0,h5p0_l8p8_w8p0_feed3p80,9
70.0,340.0,50,-2.93493163772527,90.0,90.0,4.72784320208023,45.0,70.0,h5p0_l8p8_w8p0_feed3p80,9
75.0,345.0,40,-2.93493163772527,90.0,90.0,4.39265205815208,45.0,75.0,h5p0_l8p8_w8p0_feed3p80,9
80.0,350.0,30,-2.93493163772527,90.0,90.0,4.03506565284792,45.0,80.0,h5p0_l8p8_w8p0_feed3p80,9
85.0,355.0,20,-2.93493163772527,90.0,90.0,3.66110654819482,45.0,85.0,h5p0_l8p8_w8p0_feed3p80,9
90.0,0.0,20,-2.93493163772527,90.0,90.0,6.37196367047761,45.0,0.0,h5p0_l8p8_w8p0_feed3p80,9
0.0,270.0,190,-3.0096165468173,90.0,90.0,5.8840002535035,45.0,0.0,h5p0_l9p6_w8p2_feed3p20,10
5.0,275.0,180,-3.0096165468173,90.0,90.0,5.86466120227504,45.0,5.0,h5p0_l9p6_w8p2_feed3p20,10
10.0,280.0,170,-3.0096165468173,90.0,90.0,5.84138471497007,45.0,10.0,h5p0_l9p6_w8p2_feed3p20,10
15.0,285.0,160,-3.0096165468173,90.0,90.0,5.81623108105517,45.0,15.0,h5p0_l9p6_w8p2_feed3p20,10
20.0,290.0,150,-3.0096165468173,90.0,90.0,5.78988395087731,45.0,20.0,h5p0_l9p6_w8p2_feed3p20,10
25.0,295.0,140,-3.0096165468173,90.0,90.0,5.76095846383935,45.0,25.0,h5p0_l9p6_w8p2_feed3p20,10
30.0,300.0,130,-3.0096165468173,90.0,90.0,5.72579182975248,45.0,30.0,h5p0_l9p6_w8p2_feed3p20,10
35.0,305.0,120,-3.0096165468173,90.0,90.0,5.67886198797498,45.0,35.0,h5p0_l9p6_w8p2_feed3p20,10
40.0,310.0,110,-3.0096165468173,90.0,90.0,5.6137435995276,45.0,40.0,h5p0_l9p6_w8p2_feed3p20,10
45.0,315.0,100,-3.0096165468173,90.0,90.0,5.5243287793807,45.0,45.0,h5p0_l9p6_w8p2_feed3p20,10
50.0,320.0,90,-3.0096165468173,90.0,90.0,5.40598217588202,45.0,50.0,h5p0_l9p6_w8p2_feed3p20,10
55.0,325.0,80,-3.0096165468173,90.0,90.0,5.25634556482368,45.0,55.0,h5p0_l9p6_w8p2_feed3p20,10
60.0,330.0,70,-3.0096165468173,90.0,90.0,5.07560306289295,45.0,60.0,h5p0_l9p6_w8p2_feed3p20,10
65.0,335.0,60,-3.0096165468173,90.0,90.0,4.86614310003169,45.0,65.0,h5p0_l9p6_w8p2_feed3p20,10
70.0,340.0,50,-3.0096165468173,90.0,90.0,4.63171172883631,45.0,70.0,h5p0_l9p6_w8p2_feed3p20,10
